	fluxes
TPI_c	0.0
ALLTRANSTDPRENDPS_c	0.0
6OKETOMYCOLTRE6PRD_c	0.0
EBP1r_c	0.0
SHKK_pl	0.5108075633694158
RYLNTARH_c	0.0
ASNS2_c	0.22529201293581752
MTHFR6_c	0.0
GTHP_c	0.0
FMNRx_c	0.0
MOMAS_c	0.0
MGDG1829Z12Z1829Z12ZDS_c	0.0
ADPTR_c	0.0
PSERT_pl	3.019302597322536
CSND_c	0.0
ETHAK_c	0.0
3OAR40_pl	0.0
DGDG1819Z160ZDS_c	0.0
KCCt_ec	0.0
I7OMT_c	0.0
GLCt_vc	0.0
N6DIMALLA5PPH_c	0.0
GGCHLAR2_pl	0.032824962498356536
SULFOX2_x	0.0
13HPL_c	0.0
ASCOXIDORED_x	0.0
NH4t_cpl	1.549375835459768
DMATT_pl	0.04068141001090492
UPPN_c	0.0
SUCOAS1_m	0.0
GDPMNEPI1_c	0.0
O2tdiff_ec	-113.9346334623263
24EPICAMPS_c	0.0
CBASPt_plc	0.6199204923874979
LITORINEM_c	0.0
LNLCCOAL_c	0.0
PPCOAC_c	0.0
OIVD3_c	0.0
UDPRMNS_c	0.0
PC1839Z12Z15Z1819ZDS_c	0.0
ASPK_pl	0.9351004516034235
MI14PP_c	0.0
ACACT1_x	0.0
NO2R_pl	3.8534772984977477
reac_1774_c	0.0
TCYG_c	0.0
GLUS_ferr_m	0.0
STSULT_c	0.0
EX_ORN_L_eb	0.0
ACRAMID_c	0.0
17OACAJMALINEE_c	0.0
DIELH_c	0.0
R06556_c	0.0
CANAVANINED_c	0.0
MI24PP_c	0.0
LNLNCAt_plc	0.0
TDPDRR_c	0.0
SERD_D_c	0.0
Kt_ec	0.0
PSORALENS_c	0.0
GLUGLUb_c	0.07422969039934638
CYSDDS__c	0.0
XYS7_g	0.02249471618790992
PPND_pl	0.0
LCYCR_c	0.0
GAL6PI_c	0.0
FASYNTH1_pl	0.13743208348398975
GLUDy_m	-1.280332404383004
H2Ot_cg	0.022494716187909918
ACRSP_c	0.0
SHK3D_pl	0.5108075633694158
SACCD3_c	0.0
UMPK_c	0.3090231056515039
IAAGLNS_c	0.0
R05766_c	0.0
R06539_c	0.0
CISZEATINS_c	0.0
MI12456PPK_c	0.0
HPGS_c	0.0
R01615_c	0.03918253265256314
PGIB_pl	0.0
R03636_c	0.0
APRAUR_c	0.0
PMPK_c	0.0
NADt_cx	-8.517683370634625e-17
3KTLACASE_c	0.0
ACACT1_c	0.0
STSA5_pl	0.026862228382913547
EAR140x_pl	0.0
UDPDPS2_c	0.0
MCPST_c	0.0
AHCT_c	0.0
PP2K_c	0.0
LORNITHt_cpl	-7.752039998847679e-05
NADH3_m	0.0
CHLP_c	0.0
P5CR_c	0.0
XAO2__c	0.0
GA12OX3_c	0.0
HDCEAt2_cx	0.0
6SHHYOSCYAMINEH_c	0.0
THIORDX_c	0.0
MPQMT_c	0.0
2MPPALR_c	0.0
SPRMS_c	0.0
ACETCITDA_c	0.0
GLUt_cx	-0.07669436144269241
SERAT_c	0.0
GGGABAH_c	0.0
ACODA_c	0.0
HBQR_c	0.0
KARA2_pl	0.11480610520056035
PPNDH_c	0.0
CITRLYSt_m	0.0
AOX_m	0.0
GABATA1_m	0.0
MTHPTGHMr_pl	0.0
C3H_c	0.0
ITZEATINRBOX_c	0.0
MCITL2_c	0.0
TRYPTAOX_c	0.0
CYSS_pl	0.11898652183465287
ZHY_c	0.0
OAAt_xc	0.0
GA15OX3_c	0.0
MPMECY3_pl	0.04068141001090492
GTHHR_e	0.0
FADDP_c	0.0
R01613_c	0.0
3OAR100_pl	0.0
H4THDPR_pl	0.0
ASPTA_pl	-2.675471242953562
Kt3_ec	0.7191821083128414
STSAP6_pl	0.10744891353165167
R07990_c	0.0
ALDD2x_m	0.0
XYLI2_2_c	-0.5660088529617205
GLYR2_c	3.421622482378251
SINK_confrl_c	0.0
DHPPDA2_c	0.0
SINK_URA_bc	0.0
ECOAH9_c	0.0
PPCDC_c	0.0
CMEBUT_c	0.0
MI123TPP_c	0.0
SERGLXAT_x	-0.38824666911035677
G6PIB_c	0.0
ARGSL_pl	0.24147832646761364
PGK_c	-7.775682323039899
SDH_m_m	0.0
IGPDH_pl	0.30216907350805944
A1E_pl	0.0
OMPDC_c	0.6199204923874979
FMETDF_c	0.0
NDPK2_m	0.0
ORNTA_m	0.0
MIRAXHANTINVS_c	0.0
RBCh_pl	1.2564592347151862
CSHCT_c	0.06066525444305982
PC1829Z12Z1627Z10ZDS_c	0.0
STS1_pl	0.13431114191456398
24MENELOPHMT_c	0.0
ACt_cx	1.3322711418800175
R03126_c	0.0
ITRANSZEATINRBS_c	0.0
3HSTEDH_c	0.0
HSTECARBDH_c	0.0
21R3S19OXOHBZIC3YLACS_c	0.0
MGDG1829Z12Z1617ZDS2_c	0.0
FACOAL180_x	0.0
ATPMGt_cm	0.0
ARGN_m	0.0
R07911_c	0.0
R07993_c	0.0
GA53OX_c	0.0
MI134PK_c	0.0
CINNMMT_c	0.0
TMDS_m	0.0
THRA_c	0.0
IAAALAS_c	0.0
3OAR80_pl	0.0
UPPDC1_pl	0.04068141001090491
NCTAT_c	0.0
R3207_c	0.0
PROt_cm	-8.916473911404548
LIPATPT_c	0.0
TCGT_c	0.0
GK1_c	0.02839115117249306
OAASO4t_c	0.0
DHAD2_pl	0.11480610520056034
CO2tdiff_cm	-0.6422147433541162
2KMBt_cpl	0.0
ACLS_pl	0.5817186211984918
UDPSQS_c	0.0
DAMPt_ec	0.0
GENISTEIN2H_c	0.0
DHCHLROX_c	0.0
3OACOAS_c	0.01001022762857589
TYMHCT2_c	0.0
MI12356PPH2_c	0.0
STSAP4_pl	0.1074489135316517
G3PD1_pl	0.0
NICOTIAS_c	0.0
SINAPALGT_c	0.0
METS_c	0.24829510610519598
PRET1_c	0.0
IPDPt2_plc	0.0
SULR_ferr_pl	0.11898652183465287
BENZCOAH_c	0.0
ASCBOR_c	0.0
EAR180x_m	0.0
SERD_L_c	0.0
icit_succ_tx_m__c	0.0
Kt2_ec	0.0
METGL_c	0.0
MERGTROLR_c	0.0
HC00955S_c	0.0
GTHDH_c	0.0
C24STR_c	0.0
6DP2M14BQM_c	0.0
EAR40x_pl	0.0
FA183ACPH_pl	0.0
NAR2_c	0.0
ABSH1_c	0.0
HMBS_pl	0.0406814100109049
3RLINALOOLS_c	0.0
3HAD180_pl	0.0
H4THDPS_pl	0.45959099461603353
GALU_c	5.095103357054738
JASI_c	0.0
PUNP7_c	0.0
FALDA_c	0.0
ACPCD_c	0.0
ASPT_c	0.0
SKMHCT_c	0.06066525444305981
PGM_c	-5.736204834263099
IAGT_c	0.0
GLYOX_c	0.0
FBA_pl	-37.4813625968632
DELPHINIDIN3OGIDEGT_c	0.0
PELARGONIDIN3OGIDEGT2_c	0.0
ACOADH1_c	0.0
R06568_c	0.0
RBK_c	0.0
PHYTOES_c	0.0
AM_A4_pl	0.0
3HLYTCL_c	0.0
SNORCOCLAURINES_c	0.0
ANXANASCOR_pl	0.0
GLYCLTt_cpl	-1.2564592347151862
G6Pt6_1_cpl	0.0
SINK_icit_c	0.0
H2MB4PRD_pl	0.0
CQMO_c	0.0
MALTt_plc	0.0
G6PIAB_pl	0.0
LDH_L_c	0.0
R06293_c	0.0
ACHAMS_c	0.0
CHLASE_c	0.0
SO4t2_ec	0.0
4ABZt_cm	0.0
CA2t_ec	1.0609422011061345
MI13456PK_c	0.0
3OAS100_pl	0.0
R03366_c	0.0
SPT_c	0.3882466691103568
SADT_pl	0.11898652183465287
GLYK_c	0.0
DOPABMO_c	0.0
ORNDC_c	0.0
FASYNTH3_pl	0.0
APR160_c	0.0
E4PD_c	0.0
NADPHQR5_c	0.0
5IEPIARISTOLOCHENES_c	0.0
TYMHT_c	0.0
XTSNH_c	0.0
ITRANSZEATINRBMPPRH_c	0.0
4AHM4BM5ACHOLESTA8EN3BOLMO_c	0.0
PHCD_c	0.0
OCDCEAt2_plc	0.0
ALCD24x_c	0.0
XYLS_c	0.0
NNAT_c	0.0
LEU_Lt_pl	-0.2735377579563532
GTHO_x	0.0
SINK_DCMP_c	0.0
URIK2_c	0.0
SINK_ala_L_c_c	0.0
GRTT_m	0.0
LPADSS_c	0.0
CHORM_pl	0.30788105888872047
ACPCS_c	0.0
PELARGONIDIN3ORUTINOSIDEGT_c	0.0
FACOAL160_c	0.010010227628575891
R2707_c	0.0
OP4ENS_c	0.0
HC00955H_c	0.0
SO4t_cv	0.0
14BXYLAN_7Ut_gc	0.0
